[2019-12-22 18:31:54.730] [log] [debug] Sink file:"../../logs/log.log" attached to logger
[2019-12-22 18:31:55.094] [log] [trace] Starting cycle 75 (50% Complete)
[2019-12-22 18:31:55.099] [log] [trace] Starting cycle 76 (50.6667% Complete)
[2019-12-22 18:31:55.103] [log] [trace] Starting cycle 77 (51.3333% Complete)
[2019-12-22 18:31:55.108] [log] [trace] Starting cycle 78 (52% Complete)
[2019-12-22 18:31:55.113] [log] [trace] Starting cycle 79 (52.6667% Complete)
[2019-12-22 18:31:55.117] [log] [trace] Starting cycle 80 (53.3333% Complete)
[2019-12-22 18:31:55.122] [log] [trace] Starting cycle 81 (54% Complete)
[2019-12-22 18:31:55.126] [log] [trace] Starting cycle 82 (54.6667% Complete)
[2019-12-22 18:31:55.131] [log] [trace] Starting cycle 83 (55.3333% Complete)
[2019-12-22 18:31:55.135] [log] [trace] Starting cycle 84 (56% Complete)
[2019-12-22 18:31:55.140] [log] [trace] Starting cycle 85 (56.6667% Complete)
[2019-12-22 18:31:55.144] [log] [trace] Starting cycle 86 (57.3333% Complete)
[2019-12-22 18:31:55.149] [log] [trace] Starting cycle 87 (58% Complete)
[2019-12-22 18:31:55.153] [log] [trace] Starting cycle 88 (58.6667% Complete)
[2019-12-22 18:31:55.158] [log] [trace] Starting cycle 89 (59.3333% Complete)
[2019-12-22 18:31:55.162] [log] [trace] Starting cycle 90 (60% Complete)
[2019-12-22 18:31:55.167] [log] [trace] Starting cycle 91 (60.6667% Complete)
[2019-12-22 18:31:55.171] [log] [trace] Starting cycle 92 (61.3333% Complete)
[2019-12-22 18:31:55.176] [log] [trace] Starting cycle 93 (62% Complete)
[2019-12-22 18:31:55.180] [log] [trace] Starting cycle 94 (62.6667% Complete)
[2019-12-22 18:31:55.185] [log] [trace] Starting cycle 95 (63.3333% Complete)
[2019-12-22 18:31:55.190] [log] [trace] Starting cycle 96 (64% Complete)
[2019-12-22 18:31:55.194] [log] [trace] Starting cycle 97 (64.6667% Complete)
[2019-12-22 18:31:55.199] [log] [trace] Starting cycle 98 (65.3333% Complete)
[2019-12-22 18:31:55.203] [log] [trace] Starting cycle 99 (66% Complete)
[2019-12-22 18:31:55.208] [log] [trace] Starting cycle 100 (66.6667% Complete)
[2019-12-22 18:31:55.213] [log] [trace] Starting cycle 101 (67.3333% Complete)
[2019-12-22 18:31:55.218] [log] [trace] Starting cycle 102 (68% Complete)
[2019-12-22 18:31:55.222] [log] [trace] Starting cycle 103 (68.6667% Complete)
[2019-12-22 18:31:55.227] [log] [trace] Starting cycle 104 (69.3333% Complete)
[2019-12-22 18:31:55.231] [log] [trace] Starting cycle 105 (70% Complete)
[2019-12-22 18:31:55.236] [log] [trace] Starting cycle 106 (70.6667% Complete)
[2019-12-22 18:31:55.240] [log] [trace] Starting cycle 107 (71.3333% Complete)
[2019-12-22 18:31:55.245] [log] [trace] Starting cycle 108 (72% Complete)
[2019-12-22 18:31:55.250] [log] [trace] Starting cycle 109 (72.6667% Complete)
[2019-12-22 18:31:55.254] [log] [trace] Starting cycle 110 (73.3333% Complete)
[2019-12-22 18:31:55.259] [log] [trace] Starting cycle 111 (74% Complete)
[2019-12-22 18:31:55.263] [log] [trace] Starting cycle 112 (74.6667% Complete)
[2019-12-22 18:31:55.268] [log] [trace] Starting cycle 113 (75.3333% Complete)
[2019-12-22 18:31:55.272] [log] [trace] Starting cycle 114 (76% Complete)
[2019-12-22 18:31:55.277] [log] [trace] Starting cycle 115 (76.6667% Complete)
[2019-12-22 18:31:55.281] [log] [trace] Starting cycle 116 (77.3333% Complete)
[2019-12-22 18:31:55.286] [log] [trace] Starting cycle 117 (78% Complete)
[2019-12-22 18:31:55.291] [log] [trace] Starting cycle 118 (78.6667% Complete)
[2019-12-22 18:31:55.295] [log] [trace] Starting cycle 119 (79.3333% Complete)
[2019-12-22 18:31:55.300] [log] [trace] Starting cycle 120 (80% Complete)
[2019-12-22 18:31:55.305] [log] [trace] Starting cycle 121 (80.6667% Complete)
[2019-12-22 18:31:55.310] [log] [trace] Starting cycle 122 (81.3333% Complete)
[2019-12-22 18:31:55.315] [log] [trace] Starting cycle 123 (82% Complete)
